rank,price_usd,percent_change_24h,percent_change_7d,price_btc,date,id
1,123856.99,-0.91,12.46,1.00,2025-10-06T06:36:19.455475,90
2,4561.13,-0.12,12.96,0.036832,2025-10-06T06:36:19.455475,80
3,2.99,-1.55,6.02,0.000024,2025-10-06T06:36:19.455475,58
4,1.00,0.01,-0.11,0.000008,2025-10-06T06:36:19.455475,518
5,1214.80,3.52,24.12,0.009810,2025-10-06T06:36:19.455475,2710
6,233.93,-0.68,13.88,0.001889,2025-10-06T06:36:19.455475,48543
7,0.999592,0.01,0.00,0.000008,2025-10-06T06:36:19.455475,33285
8,4553.94,-0.17,12.80,0.036774,2025-10-06T06:36:19.455475,46971
9,0.256700,-1.88,11.14,0.000002,2025-10-06T06:36:19.455475,2
10,0.498535,4.24,52.29,0.000004,2025-10-06T06:36:19.455475,147945
11,0.342996,0.24,2.52,0.000003,2025-10-06T06:36:19.455475,2713
12,0.846123,-3.00,7.40,0.000007,2025-10-06T06:36:19.455475,257
13,5541.60,-0.11,15.17,0.044750,2025-10-06T06:36:19.455475,65945
14,48.77,-3.59,7.12,0.000394,2025-10-06T06:36:19.455475,148109
15,4922.18,-0.05,13.05,0.039748,2025-10-06T06:36:19.455475,96901
16,123787.85,-0.89,12.23,0.999611,2025-10-06T06:36:19.455475,33422
17,4530.57,-0.88,12.14,0.036585,2025-10-06T06:36:19.455475,32610
18,22.02,-2.56,4.27,0.000178,2025-10-06T06:36:19.455475,2751
19,0.999832,-0.01,-0.09,0.000008,2025-10-06T06:36:19.455475,158405
20,0.404078,0.17,11.54,0.000003,2025-10-06T06:36:19.455475,89
21,3.59,-1.75,12.56,0.000029,2025-10-06T06:36:19.455475,93845
22,30.21,-1.88,4.49,0.000244,2025-10-06T06:36:19.455475,44883
23,599.77,-0.18,9.21,0.004843,2025-10-06T06:36:19.455475,2321
24,0.219561,-1.31,3.05,0.000002,2025-10-06T06:36:19.455475,48555
25,120.65,-0.63,14.92,0.000974,2025-10-06T06:36:19.455475,1
26,0.000013,-0.71,6.50,1.02E-10,2025-10-06T06:36:19.455475,45088
27,2.83,-0.27,4.92,0.000023,2025-10-06T06:36:19.455475,54683
28,2.14,6.97,21.34,0.000017,2025-10-06T06:36:19.455475,121595
29,4.18,-2.50,7.71,0.000034,2025-10-06T06:36:19.455475,45219
30,319.59,-3.10,12.78,0.002581,2025-10-06T06:36:19.455475,28
31,0.999527,-0.02,0.01,0.000008,2025-10-06T06:36:19.455475,32417
32,8.22,-0.59,8.63,0.000066,2025-10-06T06:36:19.455475,47305
33,226.13,-0.86,18.58,0.001826,2025-10-06T06:36:19.455475,33531
34,289.76,-0.22,8.24,0.002340,2025-10-06T06:36:19.455475,46018
35,0.000010,-1.46,6.89,7.98E-11,2025-10-06T06:36:19.455475,93841
36,0.573187,-7.19,-1.90,0.000005,2025-10-06T06:36:19.455475,126763
37,5.66,2.67,9.97,0.000046,2025-10-06T06:36:19.455475,67117
38,5.37,-0.30,29.23,0.000043,2025-10-06T06:36:19.455475,111341
39,2.96,-4.51,9.28,0.000024,2025-10-06T06:36:19.455475,48563
40,6.71,-0.11,-3.97,0.000054,2025-10-06T06:36:19.455475,44863
41,318.19,-2.00,6.62,0.002569,2025-10-06T06:36:19.455475,121619
42,19.66,-1.20,8.21,0.000159,2025-10-06T06:36:19.455475,118
43,9.52,-0.10,6.92,0.000077,2025-10-06T06:36:19.455475,150883
44,251.70,-0.75,13.89,0.002033,2025-10-06T06:36:19.455475,144321
45,0.923490,-2.63,4.30,0.000007,2025-10-06T06:36:19.455475,121611
46,1.26,-2.75,-1.17,0.000010,2025-10-06T06:36:19.455475,99329
47,157.72,-2.60,168.11,0.001274,2025-10-06T06:36:19.455475,134
48,4.55,-1.12,7.92,0.000037,2025-10-06T06:36:19.455475,47311
49,0.440467,-1.35,4.52,0.000004,2025-10-06T06:36:19.455475,93847
50,0.261298,-0.41,-2.80,0.000002,2025-10-06T06:36:19.455475,151099
51,0.076371,-1.90,0.17,6.17E-7,2025-10-06T06:36:19.455475,70485
52,0.022978,-2.46,5.79,1.86E-7,2025-10-06T06:36:19.455475,2741
53,0.031283,-3.83,10.94,2.53E-7,2025-10-06T06:36:19.455475,151101
54,4.18,-0.98,1.91,0.000034,2025-10-06T06:36:19.455475,33830
55,0.208653,-0.92,10.91,0.000002,2025-10-06T06:36:19.455475,33819
56,0.219608,-3.33,7.64,0.000002,2025-10-06T06:36:19.455475,34406
57,3.54,-1.54,4.49,0.000029,2025-10-06T06:36:19.455475,135601
58,0.024290,-0.95,-4.46,1.96E-7,2025-10-06T06:36:19.455475,84965
59,0.292552,-2.48,4.99,0.000002,2025-10-06T06:36:19.455475,100427
60,0.999750,0.00,0.04,0.000008,2025-10-06T06:36:19.455475,164809
61,2.35,-0.70,8.52,0.000019,2025-10-06T06:36:19.455475,32607
62,7.81,-0.70,3.15,0.000063,2025-10-06T06:36:19.455475,148111
63,0.000020,-3.45,4.34,1.61E-10,2025-10-06T06:36:19.455475,82537
64,1183.30,1.70,22.48,0.009555,2025-10-06T06:36:19.455475,46722
65,0.580495,-4.10,1.52,0.000005,2025-10-06T06:36:19.455475,33718
66,1.61,0.84,63.94,0.000013,2025-10-06T06:36:19.455475,136127
67,1658.76,-1.82,2.82,0.013395,2025-10-06T06:36:19.455475,12377
68,3930.02,0.99,4.50,0.031736,2025-10-06T06:36:19.455475,42855
69,0.754666,-2.12,-0.80,0.000006,2025-10-06T06:36:19.455475,121593
70,16.09,0.58,6.62,0.000130,2025-10-06T06:36:19.455475,2750
71,0.999512,0.02,0.05,0.000008,2025-10-06T06:36:19.455475,111357
72,0.737043,-0.92,10.12,0.000006,2025-10-06T06:36:19.455475,70497
73,13.01,0.50,10.13,0.000105,2025-10-06T06:36:19.455475,46183
74,103.23,-1.62,3.52,0.000834,2025-10-06T06:36:19.455475,33085
75,3.57,1.97,38.71,0.000029,2025-10-06T06:36:19.455475,45985
76,1.49,-3.23,5.60,0.000012,2025-10-06T06:36:19.455475,136105
77,0.997879,-0.03,0.00,0.000008,2025-10-06T06:36:19.455475,100423
78,3934.83,1.07,4.26,0.031775,2025-10-06T06:36:19.455475,42227
79,0.608497,-1.60,5.85,0.000005,2025-10-06T06:36:19.455475,48569
80,0.784967,-2.23,17.02,0.000006,2025-10-06T06:36:19.455475,48581
81,1.18,-3.76,7.99,0.000010,2025-10-06T06:36:19.455475,46981
82,0.278731,-1.43,13.75,0.000002,2025-10-06T06:36:19.455475,148191
83,1.16,-2.79,10.74,0.000009,2025-10-06T06:36:19.455475,122319
84,0.859500,-2.30,9.62,0.000007,2025-10-06T06:36:19.455475,65895
85,0.000102,-3.36,24.82,8.21E-10,2025-10-06T06:36:19.455475,51947
86,0.162061,0.83,9.28,0.000001,2025-10-06T06:36:19.455475,111347
87,1.81,-3.69,14.34,0.000015,2025-10-06T06:36:19.455475,126771
88,0.149795,-1.47,-1.92,0.000001,2025-10-06T06:36:19.455475,141199
89,0.074182,-1.15,2.54,5.99E-7,2025-10-06T06:36:19.455475,32408
90,0.084079,-2.54,4.22,6.79E-7,2025-10-06T06:36:19.455475,48561
91,0.298336,-55.75,-24.23,0.000002,2025-10-06T06:36:19.455475,33644
92,1.91,-0.62,-12.84,0.000015,2025-10-06T06:36:19.455475,121623
93,1.27,-0.31,3.20,0.000010,2025-10-06T06:36:19.455475,32604
94,4.76,-2.34,1.62,0.000038,2025-10-06T06:36:19.455475,48839
95,0.366115,-1.31,-4.62,0.000003,2025-10-06T06:36:19.455475,33536
96,21.41,-1.66,7.46,0.000173,2025-10-06T06:36:19.455475,56821
97,2.92,-2.33,10.86,0.000024,2025-10-06T06:36:19.455475,47371
98,0.769892,-1.87,5.47,0.000006,2025-10-06T06:36:19.455475,121613
99,0.189789,-1.12,17.05,0.000002,2025-10-06T06:36:19.455475,447
100,0.713698,-1.17,6.92,0.000006,2025-10-06T06:36:19.455475,3682
1,123990.62,-0.75,12.54,1.00,2025-10-06T06:41:07.322076,90
2,4569.00,0.13,13.11,0.036857,2025-10-06T06:41:07.322076,80
3,3.00,-1.24,6.14,0.000024,2025-10-06T06:41:07.322076,58
4,1.00,0.01,-0.20,0.000008,2025-10-06T06:41:07.322076,518
5,1213.49,3.41,23.99,0.009789,2025-10-06T06:41:07.322076,2710
6,234.41,-0.42,14.01,0.001891,2025-10-06T06:41:07.322076,48543
7,0.999672,0.01,0.00,0.000008,2025-10-06T06:41:07.322076,33285
8,4563.43,0.12,13.01,0.036812,2025-10-06T06:41:07.322076,46971
9,0.257694,-1.36,11.51,0.000002,2025-10-06T06:41:07.322076,2
10,0.500676,4.77,53.46,0.000004,2025-10-06T06:41:07.322076,147945
